ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
SP1072590,P,SFR/D,885,Olive ST  ,ARRG,ARRG,,"$599,900 ",$315.74 ,"3/1,1,1,0",1900/B,1954,"0.2503/10,904",7-Jul,Y,,2.5,11/7/16,CCR
PI1070288,P,SFR/D,523,Morning Rise LN  ,ARRG,ARRG,,"$620,000 ",$378.74 ,"3/2,0,0,0",1637/A,1997,"0.121/5,279",22/22,Y,,2,9/7/16,CCR
PI1070460,P,SFR/A,555,Crown Hill ST  ,ARRG,ARRG,,"$639,000 ",$336.32 ,"3/2,0,0,0",1900/SEE,1978,"0.1377/5,998",72/72,Y,,2.5,10/31/16,CCR
SC1067722,P,SFR/D,624,Paseo ST  ,ARRG,ARRG,,"$669,000 ",$326.02 ,"3/2,0,1,0",2052/A,2002,"0.2082/9,069",133/133,Y,,2,10/19/16,CCR
PI1072050,P,SFR/D,541,Cameo WY  ,ARRG,ARRG,,"$669,000 ",$389.18 ,"3/2,0,0,0",1719/A,1990,"0.9/39,204",14/14,Y,,2.5,10/25/16,CCR
PI1072043,P,SFR/D,463,Dixson   ,ARRG,ARRG,,"$679,000 ",$294.45 ,"4/2,1,0,0",2306/A,2006,"0.1462/6,368",7-Jul,Y,,3,10/20/16,CCR
PI1069491,P,SFR/D,372,Puesta Del Sol   ,ARRG,ARRG,,"$699,900 ",$363.40 ,"3/2,0,0,0",1926/AP,1999,"0.1559/6,791",119/119,Y,,2.5,11/21/16,CCR
SP1072233,P,SFR/D,1101,Shannon   ,ARRG,ARRG,,"$739,000 ",$439.36 ,"4/2,0,1,0",1682/A,1963,"0.86/37,462",10-Oct,Y,,2.5,10/29/16,CCR
PI1072562,P,SFR/D,2020,Laguna Negra LN  ,ARRG,ARRG,,"$769,000 ",$248.71 ,"5/6,0,0,0",3092/SEE,2003,"2.88/125,453",11-Nov,Y,,2.5,11/10/16,CCR
SP1069855,P,SFR/D,2235,Kittiwake ST  ,ARRG,ARRG,,"$769,900 ",$297.83 ,"3/2,0,1,0",2585/A,2002,"0.2328/10,141",85/85,Y,,2.5,10/26/16,CCR
PI1072253,P,SFR/D,680,Golden Grove PL  ,ARRG,ARRG,,"$819,000 ",$316.95 ,"4/3,0,0,0",2584/A,2002,"0.71/30,928",23/192,Y,,2.5,11/11/16,CCR
PI1071585,P,SFR/D,2279,Tattler ST  ,ARRG,ARRG,,"$840,000 ",$344.97 ,"3/2,1,0,0",2435/A,2002,"0.2529/11,016",47/47,Y,,2.5,11/12/16,CCR
PI1071788,P,SFR/D,2270,Callender RD  ,ARRG,ARRG,,"$844,500 ",$274.19 ,"4/1,2,0,0",3080/A,1961,"2.5/108,900",39/39,Y,,2.5,11/11/16,CCR
SC1071975,P,SFR/D,3260,El Rancho   ,ARRG,ARRG,,"$860,000 ",$289.08 ,"3/2,0,0,0",2975/A,1965,"5/217,800",17/17,Y,Y,2,10/27/16,CCR
PI1068788,P,SFR/D,459,Stanton ST  ,ARRG,ARRG,,"$1,100,000 ",$478.26 ,"3/2,0,0,0",2300/B,2003,"9.54/415,562",128/128,Y,,2.5,11/18/16,CCR
PI1071068,P,SFR/A,1606,Tiffany Ranch   ,ARRG,ARRG,,"$1,100,000 ",$502.97 ,"3/2,0,0,0",2187/A,1980,"10/435,600",7-Jul,Y,,2.5,9/20/16,CCR
SP1071818,P,SFR/D,669,Rosemary CT  ,ARRG,ARRG,,"$1,275,000 ",$394.25 ,"4/3,0,1,0",3234/S,2008,"0.4053/17,655",45/45,Y,,2.5,11/18/16,CCR
PI1070026,P,SFR/D,3935,Camino San Gabriel   ,ARRG,ARRG,,"$1,849,000 ",$436.60 ,"4/2,3,1,0",4235/S,0,"2.26/98,446",80/80,Y,,2,10/29/16,CCR
PI1071329,P,SFR/D,6345,Marchant AV  ,ATSC,ATSC,,"$309,900 ",$379.78 ,"1/1,0,0,0",816/A,2001,"0.184/8,015",47/47,N,,2,10/18/16,CCR
PR1071166,P,SFR,6350,Marchant AV  ,ATSC,ATSC,,"$349,900 ",$282.41 ,"2/1,0,0,0",1239/A,1957,"0.47/20,473",17/17,Y,,2.5,10/1/16,CCR
SP1069607,P,SFR/D,7935,Portola RD  ,ATSC,ATSC,,"$377,900 ",$376.39 ,"2/2,0,0,0",1004/A,1954,"0.3037/13,229",76/76,Y,,3,10/25/16,CCR
PI1071148,P,SFR/A,5305,Honda AV  ,ATSC,ATSC,,"$383,000 ",$263.05 ,"3/2,0,1,0",1456/A,1988,"0.2026/8,825",21/21,N,,2.25,10/5/16,CCR
SP1066946,P,SFR/D,1178,Galeria CR  ,ATSC,ATSC,,"$415,000 ",$228.52 ,"3/2,0,1,0",1816/S,2014,"0.0918/3,998",148/148,Y,,2.5,10/14/16,CCR
